calculated_host_listings_count,availability_365,room_type,neighbourhood,price
0.0,0.0,0.0,2.0,65
0.6666666666666667,0.016438356164383564,1.0,15.0,100
0.0,0.6301369863013698,1.0,38.0,475
0.3333333333333333,0.0410958904109589,0.0,2.0,65
0.0,0.0,1.0,34.0,200
0.0,0.0,1.0,8.0,155
0.3333333333333333,0.12328767123287672,0.0,33.0,79
0.0,0.0,0.0,9.0,88
0.0,0.0,0.0,21.0,30
0.0,0.0,1.0,11.0,145
0.0,0.0,1.0,29.0,124
0.0,0.15616438356164383,1.0,9.0,400
0.0,0.2876712328767123,1.0,56.0,120
1.0,0.5150684931506849,0.0,21.0,55
0.3333333333333333,0.0,1.0,12.0,151
0.3333333333333333,0.08767123287671233,1.0,24.0,150
0.0,0.038356164383561646,0.0,19.0,150
0.0,0.0,1.0,2.0,200
0.0,0.0,1.0,1.0,124
0.0,0.0,0.0,19.0,90
0.0,0.23287671232876714,1.0,4.0,174
0.0,0.3095890410958904,0.0,12.0,75
0.0,0.0,0.0,19.0,79
0.3333333333333333,0.0,0.0,4.0,75
1.0,0.0,0.0,56.0,60
0.0,0.0958904109589041,0.0,3.0,150
0.0,0.6246575342465753,1.0,28.0,180
0.0,0.7753424657534247,0.0,122.0,47
0.0,0.0,1.0,2.0,300
0.0,0.0,1.0,15.0,105
0.0,0.26575342465753427,1.0,64.0,300
0.0,0.23013698630136986,0.0,39.0,75
0.0,0.0,1.0,64.0,250
1.0,0.07671232876712329,1.0,56.0,169
0.0,0.0,1.0,16.0,300
0.0,0.4712328767123288,1.0,100.0,91
0.3333333333333333,1.0,0.0,2.0,69
0.0,0.33424657534246577,1.0,21.0,125
0.0,0.0,1.0,6.0,150
0.0,0.08493150684931507,1.0,79.0,119
0.0,0.016438356164383564,0.0,19.0,90
0.0,0.3424657534246575,1.0,14.0,245
0.0,0.0410958904109589,2.0,7.0,70
0.0,0.0,1.0,25.0,150
0.0,0.873972602739726,0.0,87.0,54
0.0,0.10136986301369863,0.0,6.0,45
0.0,0.0,0.0,24.0,59
0.0,0.5178082191780822,0.0,21.0,70
0.0,0.0,0.0,12.0,47
0.0,0.0,0.0,9.0,75
0.0,0.0,1.0,56.0,80
0.0,0.4849315068493151,0.0,19.0,180
0.0,0.16986301369863013,1.0,6.0,110
0.0,0.0,1.0,12.0,230
0.3333333333333333,0.0,1.0,15.0,150
0.3333333333333333,0.0,0.0,12.0,150
0.0,0.005479452054794521,0.0,6.0,30
0.0,0.0,1.0,31.0,100
0.0,0.0,0.0,12.0,129
0.0,0.0,1.0,19.0,225
0.3333333333333333,0.0,0.0,30.0,58
0.0,0.36164383561643837,1.0,11.0,225
0.0,0.2493150684931507,1.0,52.0,225
0.0,0.0,1.0,14.0,75
0.0,0.0,1.0,19.0,149
0.0,0.673972602739726,1.0,34.0,200
0.0,0.6328767123287671,1.0,21.0,207
0.6666666666666667,0.0,0.0,8.0,74
0.0,0.0,1.0,29.0,100
0.0,0.2821917808219178,0.0,4.0,70
0.0,0.07397260273972603,1.0,12.0,101
0.0,0.0,0.0,15.0,50
0.0,0.2273972602739726,1.0,100.0,168
0.0,0.29315068493150687,1.0,8.0,225
0.3333333333333333,0.13424657534246576,0.0,6.0,65
0.0,0.8547945205479452,1.0,19.0,170
0.0,0.030136986301369864,1.0,12.0,280
0.0,0.024657534246575342,1.0,19.0,700
0.0,0.016438356164383564,1.0,13.0,316
0.0,0.0,1.0,12.0,125
0.0,0.0,1.0,4.0,150
0.3333333333333333,0.4904109589041096,1.0,3.0,165
0.0,0.0,1.0,19.0,400
0.0,0.0,1.0,8.0,110
0.0,0.09863013698630137,0.0,6.0,90
0.3333333333333333,0.9972602739726028,1.0,15.0,112
0.6666666666666667,0.0027397260273972603,1.0,20.0,185
0.3333333333333333,0.7808219178082192,1.0,70.0,175
0.3333333333333333,0.6328767123287671,1.0,6.0,150
0.0,0.0,1.0,31.0,90
0.3333333333333333,0.0027397260273972603,0.0,73.0,61
1.0,0.915068493150685,0.0,21.0,69
0.0,0.0,0.0,23.0,75
0.0,0.7342465753424657,1.0,25.0,255
0.0,0.7561643835616438,1.0,14.0,500
0.0,0.22465753424657534,0.0,30.0,90
0.0,0.06027397260273973,0.0,12.0,120
0.0,0.0,0.0,8.0,79
0.0,0.21095890410958903,1.0,28.0,180
0.0,0.9808219178082191,0.0,12.0,75
0.0,0.07123287671232877,1.0,42.0,75
0.0,0.24657534246575344,0.0,80.0,99
0.3333333333333333,0.0,0.0,25.0,75
0.0,0.0,0.0,6.0,45
0.0,0.0,1.0,12.0,165
0.0,1.0,0.0,46.0,99
0.0,0.0,1.0,23.0,150
0.0,0.29315068493150687,1.0,70.0,100
0.0,0.0,1.0,4.0,170
0.0,0.016438356164383564,1.0,113.0,285
0.0,0.38082191780821917,0.0,2.0,125
0.6666666666666667,0.2410958904109589,0.0,55.0,55
0.3333333333333333,0.9863013698630138,2.0,28.0,100
0.0,0.7506849315068493,1.0,19.0,341
0.0,0.0,0.0,6.0,44
0.0,0.0,1.0,20.0,175
0.0,0.0,0.0,15.0,50
0.0,0.016438356164383564,0.0,0.0,40
0.0,0.0,0.0,114.0,49
0.0,0.0273972602739726,1.0,2.0,160
0.0,0.0,0.0,12.0,101
0.0,0.0,0.0,4.0,46
0.0,0.0,1.0,56.0,75
0.0,0.0,1.0,27.0,185
0.0,0.0,1.0,59.0,110
0.0,0.9178082191780822,0.0,67.0,40
0.0,0.5178082191780822,0.0,34.0,80
0.0,0.0,0.0,12.0,50
0.3333333333333333,0.810958904109589,0.0,98.0,60
0.6666666666666667,0.6410958904109589,1.0,1.0,270
0.3333333333333333,0.7205479452054795,1.0,2.0,247
0.0,0.0,1.0,19.0,195
0.0,0.0,0.0,27.0,135
0.0,0.9013698630136986,1.0,21.0,90
0.0,0.0,0.0,6.0,50
0.0,0.18082191780821918,0.0,30.0,55
0.0,0.0,1.0,22.0,85
0.0,0.0,1.0,2.0,150
0.0,0.936986301369863,0.0,13.0,100
0.0,0.10684931506849316,0.0,2.0,82
0.0,0.9616438356164384,1.0,12.0,395
0.0,0.23835616438356164,1.0,100.0,110
0.0,0.136986301369863,2.0,70.0,25
0.0,0.8191780821917808,1.0,9.0,499
0.0,1.0,0.0,28.0,143
0.0,0.0958904109589041,1.0,2.0,170
0.0,0.0,0.0,2.0,65
0.0,0.0,1.0,6.0,80
0.3333333333333333,0.0,1.0,6.0,90
0.0,0.1863013698630137,0.0,6.0,65
0.3333333333333333,0.6821917808219178,1.0,2.0,249
0.0,0.0,0.0,8.0,60
0.6666666666666667,0.8712328767123287,0.0,83.0,69
0.3333333333333333,0.0,0.0,56.0,60
